customer_id,age,monthly_income,loan_amount,emi_total,years_with_company,monthly_transactions,credit_score,credit_utilization,late_payment_count,savings_amount,avg_account_balance,emi_paid
C0043,24,128024,667424,21,7,116,757,18,10,659984,325466,18
C0044,45,203285,423430,93,2,31,623,11,1,779245,1179619,87
C0045,34,192566,1277318,111,8,110,597,23,9,155870,534802,99
C0046,29,25678,1473625,116,11,19,619,55,5,675363,462290,105
C0047,46,186424,791922,61,10,82,787,33,2,70841,792760,53
C0048,22,70797,363423,86,8,100,724,50,2,871714,1304370,84
C0049,40,165170,431445,119,14,15,557,38,10,461976,820108,115
C0050,48,164531,1636814,19,5,9,633,57,0,446414,763458,7
C0051,27,63894,210835,12,7,87,894,86,9,819049,708606,1
C0052,64,249287,888333,83,7,95,554,35,2,732065,617167,71
C0053,28,123202,1680451,80,10,114,745,32,10,54133,1157284,79
C0054,55,103763,1254232,12,4,69,767,39,7,827518,895448,3
C0055,34,95442,1146860,78,14,115,584,69,0,632005,610775,77
C0056,37,32898,332182,38,5,45,564,70,1,981219,774732,30
C0057,56,75352,359711,72,12,101,664,65,9,431011,664585,64
C0058,60,72207,1945045,59,13,99,624,14,9,658167,871608,54
C0059,24,189956,485499,34,6,33,710,15,9,166830,227473,30
C0060,22,96880,1272904,55,6,107,873,74,4,303286,883584,55
C0061,26,145618,1278796,114,10,69,872,29,5,886395,841030,114
C0062,62,132394,101522,51,9,113,773,36,9,233613,509189,45
C0063,24,183438,85371,22,3,31,840,42,9,856437,445398,11
C0064,49,137382,1235395,22,5,65,678,94,8,182393,608416,11
C0065,38,166908,1724701,111,1,45,670,84,4,559999,910491,106
C0066,46,42442,205021,113,1,75,567,74,0,687703,1429649,108
C0067,64,81436,550104,42,10,64,811,23,6,983484,868660,32
C0068,54,153934,1804339,71,5,68,824,92,7,799746,369250,71
C0069,30,196992,52966,66,1,111,708,12,7,931231,266421,55
C0070,56,146751,1979784,35,11,99,853,24,8,591391,832297,25
C0071,34,37686,1356867,73,12,33,609,38,10,542746,1191981,67
C0072,51,68604,1535880,30,7,111,605,63,5,858001,164804,20
C0073,35,166428,1877982,107,10,106,726,57,3,487522,737313,96
C0074,28,66163,1195023,51,8,113,619,74,10,81856,814166,48
C0075,34,183865,814422,113,14,71,745,27,2,797527,1293030,104
C0076,43,27491,1958115,28,10,47,658,19,7,356908,1072866,26
C0077,60,111742,593679,61,2,6,689,72,11,385683,820926,49
C0078,41,84382,573538,110,3,54,692,12,8,790234,1252182,110
C0079,36,104464,1417685,23,14,13,728,89,8,289774,1225371,19
C0080,38,64772,557826,26,10,65,579,19,7,683293,311738,23
C0081,44,102096,1793910,50,8,119,652,81,0,828889,776620,48
C0082,46,32011,943120,24,11,107,723,52,11,476712,1269727,13
C0083,45,243692,1598614,105,14,98,847,65,9,455922,1348279,97
C0084,61,200590,1588530,117,1,82,716,48,2,754212,529581,109
C0085,49,184705,1725288,30,13,52,813,70,5,419878,1004794,22
C0086,35,160934,1905589,84,9,88,736,50,0,994276,297581,75
C0087,21,63118,566758,68,5,18,875,22,11,151595,733835,64
C0088,45,88849,226344,103,10,90,630,66,7,627465,633461,95
C0089,27,234290,939573,119,1,31,764,13,5,546514,288775,119
C0090,29,201375,1889033,71,11,83,855,43,3,403398,1417968,69
C0091,44,167775,1487962,118,10,30,684,27,3,632819,368032,115
C0092,21,148793,1922033,67,8,19,793,31,6,55363,1110150,64
C0093,64,132915,1801326,36,9,99,898,84,2,367699,896865,27
C0094,28,40096,562677,115,9,15,669,82,6,465185,1145978,106
C0095,44,85047,1468101,116,11,18,626,50,5,360951,268846,105
C0096,31,235714,1954497,15,11,8,603,91,8,488718,1247122,13
C0097,37,90891,855110,63,9,103,843,31,3,823398,69161,60
C0098,28,143160,449533,112,6,63,788,50,8,791099,1386640,106
C0099,55,33432,1265883,18,11,100,800,19,7,64270,1396178,18
C0100,55,171772,264024,116,7,40,887,71,2,858448,135644,114
C0101,53,149790,374492,79,12,54,579,32,11,570267,1113565,68
C0102,25,81862,248079,98,14,36,779,12,0,452026,461219,98
C0103,62,181268,1169225,119,14,82,835,80,8,698319,42177,118
C0104,59,122186,301450,119,7,102,823,81,3,600623,1096684,110
C0105,61,71618,1617316,81,4,63,867,70,5,138995,1219297,69
C0106,48,107774,1744357,56,3,71,647,53,0,307986,1197642,51
C0107,27,135239,637072,20,9,41,834,74,10,449056,265856,15
C0108,29,84658,365367,20,3,53,598,69,2,570826,1414977,20
C0109,28,118312,1892747,96,3,27,697,34,1,478171,470344,90
C0110,32,146051,1820620,14,13,40,596,35,4,851353,362478,11
C0111,54,153081,861048,88,4,90,632,44,5,143473,1363234,88
C0112,53,162776,924832,74,10,54,818,86,10,68620,1064855,65
C0113,43,110544,397820,113,10,116,754,37,4,622423,1241599,101
C0114,44,171451,639571,93,10,112,850,84,2,430627,1234075,92
C0115,57,79598,408725,106,3,5,619,21,1,167252,975396,98
C0116,55,67020,1470972,104,2,104,862,52,8,787133,267212,96
C0117,64,33573,1376265,13,5,54,806,34,0,767811,479562,7
C0118,60,178487,1925184,42,11,18,788,38,6,482575,358795,41
C0119,42,244174,1896610,49,1,62,860,63,3,217744,484015,47
C0120,47,91668,368557,18,1,85,791,61,11,459567,1114319,8
C0121,55,76628,519910,115,11,19,861,10,6,75690,178991,107
C0122,21,77287,573679,21,6,63,784,49,1,302130,698542,13
C0123,55,138838,1816462,88,12,95,646,60,11,57830,876155,78
C0124,57,25944,1570631,70,4,115,725,34,5,295505,307315,60
C0125,34,161912,294444,12,8,85,882,26,7,489921,459581,9
C0126,23,209186,335191,48,1,6,772,16,5,637274,860976,47
C0127,21,64442,1224736,36,10,93,629,67,0,155757,35983,33
C0128,25,199561,1884192,105,5,76,741,79,3,882533,1004330,97
C0129,46,201333,1691847,77,11,67,850,81,8,738532,581115,76
C0130,34,69278,1762212,111,13,14,749,38,6,705421,536880,103
C0131,59,58602,1831082,99,13,32,847,53,1,697979,1277716,90
C0132,47,45134,1225712,87,6,62,668,82,9,581994,461655,83
C0133,29,94720,1897745,16,5,40,769,61,8,262281,463374,16
C0134,35,249571,1993667,67,11,118,729,40,3,292567,1283091,61
C0135,35,97714,1889465,90,10,108,845,55,5,661755,1167473,83
C0136,46,226776,235594,53,6,39,869,61,8,25583,417502,43
C0137,62,188726,1765087,75,3,84,685,55,5,978639,1162530,74
C0138,33,226599,1567750,60,14,85,661,38,10,452686,932464,55
C0139,52,33146,191987,57,9,118,871,89,6,634759,358395,53
C0140,59,137188,1081495,82,7,56,622,81,11,326865,229059,72
C0141,52,226898,1297823,13,10,69,855,78,0,125281,172645,10
C0142,24,213622,1779542,78,1,90,569,69,2,452077,973968,78
C0143,50,246157,1229222,15,5,72,617,91,3,508513,1163325,13
C0144,57,143222,1990999,73,10,64,865,12,10,848329,250256,64
C0145,43,236452,1374418,91,13,31,859,78,6,288078,192067,89
C0146,59,141740,1279730,38,1,106,848,81,10,15454,1385419,37
C0147,35,131455,981185,97,14,25,709,61,6,757002,456864,97
C0148,63,221636,1948019,78,3,79,686,46,11,983200,1311237,74
C0149,49,213603,1766986,28,6,35,668,85,7,226416,619233,19
C0150,56,108780,1977779,97,14,72,676,27,6,155863,578308,96
C0151,33,164006,490398,63,2,91,835,80,7,777509,259194,51
C0152,52,120381,1346157,82,5,48,854,56,3,543905,668180,80
C0153,27,204121,1563230,68,7,107,806,92,2,624423,692272,57
C0154,42,131355,423980,41,12,104,598,91,2,538889,1201509,39
C0155,48,211352,924179,83,13,28,611,81,0,191024,309523,79
C0156,22,242006,1249841,94,9,15,823,38,10,364029,846688,90
C0157,62,120597,407974,82,1,41,651,27,4,502863,1248153,80
C0158,26,209476,1042825,76,7,16,604,78,11,518738,1367306,72
C0159,48,27127,1964850,27,14,66,888,70,10,535034,1318319,23
C0160,48,231691,825579,115,14,57,671,70,2,422599,987300,107
C0161,64,218808,1982766,106,8,109,666,14,10,46268,581732,104
C0162,64,175163,458233,114,3,14,675,50,2,129930,1421087,106
C0163,40,166005,780208,38,2,58,734,34,3,843381,730724,29
C0164,50,150553,993761,85,8,104,617,74,3,199611,1393998,78
C0165,31,40877,1493716,109,7,34,692,84,9,200494,1043900,106
C0166,48,190653,445656,58,12,19,817,87,0,607704,109611,50
C0167,45,37519,242979,25,1,75,629,50,7,452609,562084,24
C0168,59,229424,1580725,13,2,36,613,60,0,642852,1368774,4
C0169,53,33351,1921218,50,4,44,792,82,2,994598,743920,45
C0170,21,148223,114904,66,3,115,754,58,0,475535,582131,63
C0171,47,171720,867169,97,2,75,583,56,11,310217,1470069,87
C0172,33,82548,657415,37,5,10,696,14,10,758657,1143083,32
C0173,61,134538,1419230,55,6,48,803,33,3,791209,149875,45
C0174,23,117997,907550,80,6,98,624,79,1,78373,954872,69
C0175,59,218895,901450,49,7,112,770,90,4,805606,894611,38
C0176,26,150597,571549,91,12,66,641,69,7,962621,834221,86
C0177,28,200552,1729421,23,13,83,759,84,1,259642,245771,21
C0178,47,195089,1238002,116,6,102,726,39,5,733672,313702,108
C0179,29,237049,1693047,119,13,52,834,21,10,313289,849131,109
C0180,57,64253,1047554,117,6,105,825,24,8,577332,524773,112
C0181,53,230785,958522,28,8,74,833,23,8,647874,25154,27
C0182,62,111967,885451,36,12,31,685,17,0,551488,565802,36
C0183,64,177996,878475,75,5,54,723,57,7,604857,1318628,71
C0184,44,59864,1898547,99,12,45,618,22,3,617505,1200431,88
C0185,35,37493,951358,22,5,46,718,37,11,536925,793306,18
C0186,52,30337,748935,29,11,72,766,93,2,233232,870173,27
C0187,52,88281,1502777,47,11,19,748,58,4,16706,217616,42
C0188,44,41035,850851,14,7,84,577,35,5,613115,1259132,14
C0189,61,113854,1069594,94,10,83,830,65,3,163707,364041,87
C0190,32,225390,1190728,81,13,89,863,50,3,810322,998515,73
C0191,59,235406,1961848,98,11,57,769,49,11,713261,903640,86
C0192,22,44884,1336581,115,11,91,626,32,2,623579,334289,105
C0193,23,34074,1451360,82,7,29,771,70,9,767025,1116052,75
C0194,57,117885,1729464,119,3,64,652,24,7,322999,1190459,114
C0195,37,51907,1408360,20,1,13,621,10,7,316114,965191,17
C0196,22,243597,226509,77,5,58,872,91,7,393223,1213725,73
C0197,22,129723,1269676,58,10,36,885,58,0,637765,316674,51
C0198,48,33624,1779750,61,11,67,811,82,5,358653,414541,53
C0199,43,229497,1127128,75,4,113,888,75,11,874939,677387,75
C0200,57,183328,1196551,58,1,73,587,59,4,850478,1274815,51
C0201,52,166527,1174568,86,5,41,640,86,0,836068,956894,78
C0202,53,167266,1219896,78,6,97,697,23,6,103045,1461379,68
C0203,21,46622,402406,53,7,25,630,82,7,341714,1115917,42
C0204,39,248596,614012,60,10,68,579,35,9,504817,756533,51
C0205,22,207041,622864,41,11,5,664,12,8,678890,796381,31
C0206,64,98106,1602805,19,12,75,672,27,11,922158,834258,11
C0207,46,46487,1108735,48,9,74,565,94,5,211861,244030,41
C0208,52,25617,1188603,96,12,87,702,40,4,773567,1028795,92
C0209,26,135988,508958,19,4,44,821,43,7,493680,1421496,19
C0210,52,150385,730769,74,1,18,619,51,11,28479,367084,63
C0211,24,131813,559404,22,4,10,741,78,9,34030,905401,16
C0212,31,138021,1482115,116,11,63,782,72,0,414446,813362,106
C0213,37,162357,70705,69,7,13,729,41,11,912049,1273189,63
C0214,58,58224,819629,45,1,100,733,94,5,619580,256557,43
C0215,44,222108,829043,50,13,76,822,36,4,33037,308601,40
C0216,25,213298,1571442,27,9,109,576,12,6,790745,767572,23
C0217,54,53994,1682065,82,6,90,552,92,0,922544,1033061,79
C0218,26,87439,761345,15,10,76,897,10,10,92720,1281006,7
C0219,42,207539,377042,107,8,112,796,77,9,978690,823913,99
C0220,31,127178,924601,112,6,66,809,67,1,320603,1363202,110
C0221,36,48014,528283,57,14,38,832,64,0,437151,359251,54
C0222,53,95509,821894,33,7,117,889,77,5,720150,715495,21
C0223,29,95310,933635,82,3,13,625,29,4,11284,232410,76
C0224,26,237127,259082,24,8,78,879,21,1,974038,463063,21
C0225,36,221326,353046,93,5,26,563,73,0,496330,241649,93
C0226,49,203189,490851,53,7,81,605,82,10,25579,48537,48
C0227,23,217666,1219682,45,7,46,571,86,8,136808,1138553,40
C0228,40,242188,1757655,24,6,119,573,43,7,895270,458810,13
C0229,56,113635,160530,109,3,103,767,49,0,644248,1272076,98
C0230,39,75218,437610,40,11,76,560,55,6,153649,740604,28
C0231,46,71390,1317662,58,1,81,621,39,8,417434,1287292,58
C0232,23,193556,1930711,80,6,103,750,56,2,25663,735191,73
C0233,39,67588,1117025,106,13,97,587,55,8,537244,43092,94
C0234,40,139391,136300,22,9,78,639,31,0,99712,996254,15
C0235,52,38302,98429,74,2,34,814,16,8,456833,1020055,62
C0236,27,211832,1229122,113,2,74,594,45,1,48595,1443428,101
C0237,61,28234,749299,62,10,33,638,90,4,118927,1252129,54
C0238,53,162566,1749714,71,1,42,677,18,10,532414,996169,64
C0239,60,215697,63301,58,1,9,803,52,5,169487,250524,51
C0240,59,170311,1453784,15,2,11,570,13,9,725910,279760,10
C0241,38,95034,234969,18,1,15,609,47,4,924456,967926,13
C0242,60,134734,948791,98,12,88,864,37,5,853229,871811,97
C0243,21,95803,900771,42,12,31,788,91,10,435029,847303,32
C0244,31,211395,623377,92,12,67,782,78,4,710122,89051,80
C0245,48,168618,861001,85,11,83,640,11,6,676079,640269,79
C0246,45,180551,187472,97,13,97,560,20,0,199780,1480042,90
C0247,43,61437,1730602,41,6,16,697,39,7,672010,661607,40
C0248,51,209939,1437139,40,5,63,647,53,1,227575,1364122,40
C0249,50,165729,1649407,92,8,62,600,24,4,713228,498716,81
C0250,62,112989,855220,54,13,42,741,92,6,932630,1199785,54
C0251,55,125265,1213519,96,10,37,860,49,1,708715,1476584,89
C0252,27,137244,1715631,33,7,39,693,63,2,44966,1059321,26
C0253,36,42259,931937,59,12,59,762,10,0,65998,298588,53
C0254,46,153526,1072285,114,14,63,754,61,5,357908,1137111,110
C0255,22,184717,1956684,115,4,48,859,37,2,240366,1099942,111
C0256,21,87674,1852418,59,9,52,731,81,7,999808,910790,55
C0257,32,233701,1155340,68,11,101,733,31,8,643722,348935,64
C0258,25,230342,500307,33,11,19,812,69,6,427764,42186,22
C0259,57,225124,170210,38,4,104,676,34,6,583474,1352348,33
C0260,52,40032,1676199,98,9,113,562,91,4,316502,835620,94
C0261,29,111419,1989549,74,4,59,645,18,7,754198,29088,65
C0262,61,247202,1054364,15,2,99,632,17,8,148541,315193,3
C0263,55,196073,1241306,101,2,112,765,52,3,154192,862834,93
C0264,39,51004,1983339,114,13,46,849,62,10,583687,357053,111
C0265,36,38170,1538881,92,14,29,589,31,11,897485,1110543,80
C0266,23,129251,142856,14,6,6,746,66,11,107065,1133551,14
C0267,40,238566,719770,92,6,86,577,11,11,991248,159800,83
C0268,44,42842,1598341,118,7,45,630,79,5,583251,1023415,116
C0269,53,130699,1402000,51,13,48,845,20,1,723449,383082,42
C0270,44,247683,1986942,94,12,54,643,88,1,737316,1229199,89
C0271,31,182139,663111,114,7,94,739,64,6,200758,1231795,107
C0272,28,93708,77881,93,13,82,864,28,6,893763,974375,89
C0273,56,207694,1547717,39,12,75,855,60,0,738457,391150,30
C0274,58,61195,932435,26,3,48,560,51,5,665350,916261,19
C0275,60,153138,1439797,62,10,94,658,33,8,63075,1491447,51
C0276,40,196638,252529,37,7,63,692,19,2,828893,690507,37
C0277,55,32736,443547,46,9,61,697,91,4,209946,1297987,45
C0278,45,73258,150021,91,9,44,712,54,0,648190,231728,81
C0279,55,121804,962855,26,11,64,773,27,10,303818,366739,22
C0280,45,68475,214156,16,14,19,608,92,4,533271,1366497,15
C0281,49,69511,138164,57,7,79,600,34,6,526986,231323,45
C0282,38,29206,261191,35,4,98,735,49,1,286417,495244,28
C0283,38,141888,1429807,13,14,64,817,72,2,612660,403279,5
C0284,22,44348,1792802,70,8,70,595,72,5,943521,1349518,70
C0285,55,81057,110252,47,2,43,613,72,11,451371,1325289,45
C0286,36,192153,937653,56,8,94,567,73,6,15007,713199,51
C0287,61,138359,57792,106,12,51,705,18,6,474970,1334071,94
C0288,56,142615,472108,105,12,17,647,44,3,238287,1104663,93
C0289,53,218280,207010,87,11,100,625,37,11,858792,1391895,87
C0290,24,180926,812003,48,3,113,881,22,1,982854,422796,47
C0291,53,43032,130884,68,5,107,564,91,4,904768,871814,62
C0292,34,79679,1014482,96,3,25,568,85,5,533266,109520,90
C0293,41,185344,794743,23,13,110,717,30,7,216461,107526,13
C0294,40,132654,1010196,115,6,18,687,65,10,899595,1391393,103
C0295,28,139169,909542,112,6,83,749,18,6,360713,594354,105
C0296,27,60109,675220,46,8,26,570,55,11,262347,190924,38
C0297,23,75670,595245,33,1,110,697,30,11,73586,1208264,32
C0298,37,75022,326255,111,5,77,746,50,1,812847,354088,99
C0299,53,161610,1261415,83,5,76,550,79,6,589773,1099804,82
C0300,32,69237,1974976,102,14,78,670,72,6,992346,902606,98
C0301,42,165605,520962,38,9,20,670,38,4,869031,1105280,27
C0302,42,215722,360130,111,10,77,704,74,4,411465,21276,101
C0303,50,227085,575497,18,4,98,841,18,1,437074,860549,12
C0304,58,34363,1901561,14,6,5,656,76,5,883384,867140,8
C0305,58,233872,965234,15,12,79,582,18,0,685716,295154,6
C0306,28,71304,1337711,99,11,38,639,33,6,370792,49483,88
C0307,47,36819,136316,19,11,76,740,35,11,821553,486632,12
C0308,47,37191,65023,56,10,10,668,25,9,610187,711980,44
C0309,54,31499,856251,88,7,37,691,80,4,853984,1307326,79
C0310,41,88001,1559205,84,3,79,709,26,7,742620,1467074,77
C0311,50,135383,1855275,31,12,14,560,43,11,296405,975417,28
C0312,53,42668,1822720,95,6,117,642,28,9,624711,1339477,95
C0313,48,164834,1938033,16,14,95,898,17,3,811341,1254247,4
C0314,53,121828,912351,57,13,85,665,58,4,529734,1143990,53
C0315,25,175320,451930,80,13,55,614,32,3,752154,507296,76
C0316,39,129349,348464,46,3,29,726,25,8,467747,1450769,39
C0317,24,201016,606523,76,12,74,780,67,9,976559,458424,68
C0318,55,232941,661813,117,6,86,633,23,11,380706,504211,110
C0319,37,141665,1560034,26,1,47,643,91,2,664532,581643,15
C0320,64,121188,524971,28,9,46,610,70,0,459355,1068708,19
C0321,48,131942,606956,87,6,7,733,64,4,364598,1239228,79
C0322,50,38070,380212,57,6,85,644,89,10,464950,665798,50
C0323,49,116392,1148549,111,14,115,655,88,4,232095,213379,108
C0324,26,122164,1790212,72,13,68,668,53,10,10856,725640,66
C0325,55,193879,1278994,54,4,46,835,60,8,514037,379859,54
C0326,61,113959,66849,90,14,58,661,34,0,650486,607664,80
C0327,57,204105,1003297,89,5,19,780,34,10,324716,544882,78
C0328,44,181284,1486747,102,4,20,691,69,8,463836,1479279,97
C0329,49,126277,1680161,33,6,56,584,34,4,571299,106949,26
C0330,51,29626,98287,20,7,106,702,72,1,274302,1068346,14
C0331,55,74270,707897,58,1,67,858,81,9,122675,1328117,46
C0332,53,65767,1786803,96,14,48,861,61,10,161547,718471,87
C0333,41,86505,582595,14,3,108,578,89,0,642390,1493222,3
C0334,52,27292,79051,63,2,50,870,89,5,157662,1014786,55
C0335,43,141792,1284514,42,11,104,730,15,0,87066,1451529,38
C0336,53,39859,453518,24,12,24,826,47,11,984408,764490,21
C0337,23,186657,1432531,13,5,63,630,23,2,865631,1039219,11
C0338,38,238415,944199,89,8,70,801,94,8,104394,20503,78
C0339,45,159891,1834202,18,5,7,563,15,5,487919,1208810,9
C0340,62,245695,1052114,40,9,118,559,46,9,677635,1438287,29
C0341,51,135986,1329386,15,14,34,879,83,9,440741,1324533,11
C0342,23,26280,117438,15,1,48,806,16,5,573909,1304883,3
C0343,60,219552,610079,99,11,65,561,84,1,731648,1396521,87
C0344,44,234849,1636603,117,6,77,875,21,8,119797,162846,110
C0345,52,170219,1334765,32,3,88,787,18,3,241990,646996,26
C0346,42,241424,1584679,56,2,80,579,56,8,788660,694277,46
C0347,43,223237,1441941,39,4,17,667,14,3,946097,219925,34
C0348,22,33634,760574,113,3,71,577,35,10,227555,765918,102
C0349,47,93550,1183089,19,11,31,655,56,3,174865,584260,17
C0350,62,166845,1400006,53,9,22,836,49,5,346375,1232103,42
C0351,22,173953,1398427,28,14,114,822,87,10,94542,1115857,16
C0352,46,217668,414841,20,12,53,774,70,6,80070,867630,10
C0353,37,164352,770150,72,9,38,855,90,5,684788,1328119,72
C0354,60,84593,843571,95,8,56,636,81,0,833879,864882,89
C0355,53,181627,1520759,80,7,79,744,10,7,442646,561868,78
C0356,29,66421,1487198,110,10,80,897,51,0,381937,1077954,103
C0357,63,110472,1913794,52,3,88,705,41,6,361886,1277916,44
C0358,59,183404,1356575,40,14,75,758,79,1,500903,148395,29
C0359,49,69588,1113404,87,11,50,563,67,6,390173,1347221,80
C0360,62,117613,1630088,65,3,84,638,41,2,485658,305672,60
C0361,46,163709,495294,43,13,87,808,55,11,292962,1012317,36
C0362,55,115491,618461,106,7,82,746,78,10,917699,54675,98
C0363,45,111416,1400350,106,4,59,747,30,3,356530,1114536,106
C0364,44,71158,1916379,76,8,32,873,23,5,985545,147524,68
C0365,33,78798,1437114,54,1,40,668,50,4,845402,744541,50
C0366,27,208207,1465028,80,1,45,865,66,1,545650,1441309,75
C0367,56,172227,1657458,111,7,67,873,57,11,296187,64628,106
C0368,40,224668,1146781,87,9,11,780,59,1,398574,1329245,82
C0369,21,202537,477009,91,2,54,648,33,0,33563,576368,86
C0370,28,73081,378465,27,5,109,797,80,11,388061,646925,21
C0371,36,213058,1995634,32,2,67,672,68,2,856971,1225273,31
C0372,34,80956,998618,44,12,65,623,74,1,197473,655019,36
C0373,32,65278,340009,37,9,77,746,37,3,224079,1301942,26
C0374,43,93486,186258,14,9,38,627,30,4,395455,964152,12
C0375,35,209764,515988,34,1,92,839,46,11,334467,107350,22
C0376,48,72155,950319,100,11,85,668,25,3,699033,690049,96
C0377,54,114338,1156280,65,7,65,551,79,0,666985,187082,54
C0378,22,162135,220441,95,11,35,628,30,1,808731,766767,85
C0379,52,104741,1750133,58,14,19,839,63,2,703439,1164257,53
C0380,43,69690,1806485,47,1,32,681,11,6,315811,1475095,35
C0381,42,152304,1525786,46,7,48,655,25,4,84476,16174,42
C0382,45,182579,1166752,54,8,19,690,24,1,366721,1197853,47
C0383,42,32661,1742602,44,1,85,622,25,9,393659,1287533,34
C0384,42,192261,86417,16,3,28,681,77,6,763605,126378,11
C0385,62,169129,1473656,15,10,81,580,67,2,664805,888003,15
C0386,26,241848,563815,69,5,46,861,94,6,709003,1050201,67
C0387,35,124786,145153,63,10,67,811,36,5,214654,221223,53
C0388,63,191385,373844,83,7,25,611,33,10,876356,648651,75
C0389,57,61988,638564,86,5,29,759,79,5,714186,284975,77
C0390,53,168563,219477,118,3,23,791,43,10,440905,810696,113
C0391,28,85159,85971,61,8,116,651,47,1,51286,849849,50
C0392,64,58410,256600,38,6,7,792,52,2,536836,397569,34
C0393,64,103868,1421460,21,14,50,771,91,9,66728,618510,15
C0394,25,218101,1728403,73,1,28,571,30,10,711756,484271,61
C0395,59,241910,450509,31,7,25,883,88,3,327448,1186047,22
C0396,24,59354,1534168,43,9,5,817,39,9,980145,651764,40
C0397,26,109329,1750241,59,1,54,851,50,3,700812,73726,51
C0398,52,31504,1687178,102,7,35,672,15,5,165469,1350607,96
C0399,50,118961,1516026,60,2,11,591,71,3,573583,143720,48
C0400,55,54811,1156255,93,1,36,803,46,7,597488,261090,86
C0401,60,205278,1355537,37,13,47,675,24,7,445560,188288,26
C0402,36,42225,670572,46,1,104,880,27,7,630840,318975,45
C0403,33,127891,1614335,39,3,71,860,19,0,301687,941804,38
C0404,62,117732,1383042,76,1,64,574,76,5,389215,183974,66
C0405,50,175362,805625,109,10,69,885,71,8,651676,805903,103
C0406,39,231732,515699,37,2,16,630,77,1,933839,1150444,29
C0407,37,27272,837275,69,7,14,745,20,9,670371,1376065,61
C0408,39,162213,885577,17,8,75,661,73,11,65576,1182986,10
C0409,48,89980,76216,61,3,29,775,10,2,136196,85848,54
C0410,46,82167,1086332,60,7,95,789,81,8,600453,867914,58
C0411,57,180750,1816625,69,12,95,663,84,9,76374,1286987,64
C0412,46,99697,498930,57,7,65,811,44,2,692154,349101,48
C0413,43,157143,693687,100,10,74,601,24,4,639686,1395188,88
C0414,29,173192,158805,92,4,88,634,18,11,173898,850735,92
C0415,32,116477,1803852,101,11,53,607,53,4,427603,730643,101
C0416,21,180205,944628,32,1,26,749,49,10,833575,410963,26
C0417,21,159702,355443,107,14,118,752,85,10,967295,173406,105
C0418,54,90763,1687587,36,4,30,839,23,0,337899,1305942,26
C0419,52,138646,700895,107,11,113,807,65,10,314390,114970,107
C0420,45,104544,1480983,116,12,109,888,15,5,5723,89025,104
C0421,60,210935,1105979,74,12,36,668,86,11,361066,490186,67
